MR,Author,Journal,Year,Publication Type,MSC,Citation,Version,Website,Length,Accuracy Score
3149684,"Abdollahi, A. and Jazaeri, M.",European J. Combin.,2014,article,05C25,"The GAP Group, GAP—Groups, Algorithms, and Programming, Version 4.6.4; 2013. http://www.gap-system.org.",4.6.4,Yes,103,3
3297734,"Abdollahi, A.",J. Group Theory,2015,article,20F45,"W. Nickel, NQ, 1998, A refereed GAP 4 package, see [8].",Package,No,55,1
3297734,"Abdollahi, A.",J. Group Theory,2015,article,20F45,"The GAP Group, GAP–Groups, Algorithms, and Programming, Version 4.4.12 (2008), http://www.gap-system.org.",4.4.12,Yes,105,3
3395696,"Abdollahi, A. and Zallaghi, M.",Comm. Algebra,2015,article,20C15 (05C25 05C50),"The GAP Group, (2008). GAP – Groups, Algorithms, and Programming, Version 4.4.12, (http://www.gap-system.org).",4.4.12,Yes,110,3
3539599,"Abdollahi, A. and Janbaz, S. and Jazaeri, M.",J. Algebra Appl.,2016,article,05C25 (05C50 15A18 20D60),"L. H. Soicher, The GRAPE package for GAP, Version 4.6.1, 2012, http://www.maths.qmul.ac.uk/~leonard/grape/.",Package,Yes,107,3
3539599,"Abdollahi, A. and Janbaz, S. and Jazaeri, M.",J. Algebra Appl.,2016,article,05C25 (05C50 15A18 20D60),"The GAP Group, GAP — Groups, Algorithms, and Programming, Version 4.7.2 (2013); http://www.gap-system.org.",4.7.2,Yes,106,3
3654193,"Abdollahi, A. and van Dam, E. R. and Jazaeri, M.",Des. Codes Cryptogr.,2017,article,05E30 (05C25 20B25 51E12),"The GAP Group, GAP—Groups, Algorithms, and Programming, Version 4.6.4. http://www.gap-system.org (2013).",4.6.4,Yes,104,3
3635141,"Abdollahi, A. and Ahmadi, M. and Ghoraishi, S. M.",J. Algebra Appl.,2017,article,20D45 (20D15),"The GAP group, GAP-groups, algorithms, and programming, version 4.6.5 (2013), http://www.gap-system.org.",4.6.5,Yes,104,3
3730759,"Abdollahi, A. and Daoud, B. and Farrokhi D. G. , M. and Guerboussa, Y.",Internat. J. Algebra Comput.,2017,article,20F10 (20F16),"The GAP Group, GAP-Groups, Algorithms and Programming, Version 4.7.9 (2015), http://www.gap-system.org/.",4.7.9,Yes,104,3
3691357,"Abdollahi, A. and Guedri, M. and Guerboussa, Y.",Comm. Algebra,2017,article,20D15 (20J06),"The GAP Group (2008). GAP-Groups, algorithms, and programming, Version 4.4.12. www.gap-system.org.",4.4.12,Yes,98,3
3764905,"Abdollahi, A. and Taheri, Z.",Comm. Algebra,2018,article,20C07 (16S34),"The GAP Group (2013). GAP – Groups, Algorithms, and Programming, Version 4.7.2. Available at http://www.gap-system.org. Last accessed at July 25, 2017.",4.7.2,Yes,151,3
3910666,"Abdollahi, A. and Zallaghi, M.",J. Algebra Appl.,2019,article,20C15 (05C25),"The GAP Group, GAP Groups, Algorithms, and Programming, Version 4.8.8 (2017), http://www.gap-system.org.",4.8.8,Yes,104,3
3924790,"Abdollahi, A. and Jafari, F.",Comm. Algebra,2019,article,20C07 (16S34),"The GAP Group. (2013). GAP—groups, algorithms, and programming, Version 4.6.4. http://www.gap-system.org.",4.6.4,Yes,105,3
4089644,"Abdollahi, A. and Rahmani, N.",Bull. Malays. Math. Sci. Soc.,2020,article,20D15 (20D45),"The GAP Group, GAP – Groups, Algorithms, and Programming–a System for Computational Discrete Algebra, Version 4.8.9 (2017). http://www.gap-system.org",4.8.9,Yes,149,3
4089644,"Abdollahi, A. and Rahmani, N.",Bull. Malays. Math. Sci. Soc.,2020,article,20D15 (20D45),"Gamble, G., Nickel, W., O'Brien, E.A.: ANU p-Quotient–p-Quotient and p-Group Generation Algorithms (2006). An accepted GAP 4 package, available also in MAGMA",Package,No,157,2
4098943,"Abdollahi, A. and Jafari, F.",J. Algebra Appl.,2020,article,20D60 (11B13 11P70 16S34 20C05),"The GAP Group, GAP-Groups, Algorithms, and Programming, version 4.6.4, 2013. http://www.gap-system.org.",4.6.4,Yes,103,3
3116785,"Abdolzadeh, H. and Eick, B.",Algebra Colloq.,2013,article,20D15 (20E18 20F05),"The GAP Group, GAP — Groups, Algorithms and Programming, Version 4.4 (available from http://www.gap-system.org, 2005).",4.4,Yes,118,3
3073368,"Abel, R. J. R. and Combe, D. and Nelson, A. M. and Palmer, W. D.",Des. Codes Cryptogr.,2013,article,05B05 (20D10 20F16),"The GAP Group: GAP—groups, algorithms, and programming, Version 4.4.10 (2007) http://www.gap-system.org.",4.4.10,Yes,104,3
3698080,"Abel, R. J. R. and Combe, D. and Nelson, A. M. and Palmer, W. D.",Discrete Math.,2017,article,05B05 (05B10),"The GAP Group, GAP - Groups, Algorithms and Programming, Version 4.4.10, 2007, http://www.gap-system.org.",4.4.10,Yes,105,3
3449941,"Aboras, M. and Vojtěchovský, P.",Comm. Algebra,2016,article,20N05,"The GAP Group, GAP - Groups, Algorithms, and Programming, Version 4.5.7; 2012. http://www.gap-system.org.",4.5.7,Yes,105,3
3449941,"Aboras, M. and Vojtěchovský, P.",Comm. Algebra,2016,article,20N05,"Nagy, G. P., Vojtěchovský, P. LOOPS: Computing with quasigroups and loops, version 2.2.0, a package for GAP, available at http://www.math.du.edu/loops.",Package,Yes,151,3
3468053,"AbuGhneim, O. A.",Ars Combin.,2016,article,05B10,"GAP - Groups, Algorithms and Programming. Version 4.3, The GAP group, Aachen, St. Andrews, 2002. (http://turnbull.mcs.stand.ac.uk/ gap/)",4.3,Yes,136,3
3468053,"AbuGhneim, O. A.",Ars Combin.,2016,article,05B10,"L.H. Soicher, The DESIGN package for GAP, Version 1.6, 2011, (http://designtheory.org/software/gap_design/).",Package,Yes,108,3
3468053,"AbuGhneim, O. A.",Ars Combin.,2016,article,05B10,"L.H. Soicher, The GRAPE package for GAP, Version 4.6.1, 2012, (http://www.maths.qmul.ac.uk/leonard/grape/).",Package,Yes,107,3
2986074,"Adan-Bante, E. and Harris, J. M.",Bol. Soc. Mat. Mexicana (3),2011,article,20G40 (20E45),"T. G. Group, GAP - Groups, Algorithms, and Programming, Version 4.4.10, http://www.gapsystem.org, 2007.",4.4.10,Yes,103,3
3590865,"Adhami, S. R. and Iranmanesh, A.",J. Algebra Appl.,2017,article,20C15,"The GAP Group, GAP — Groups, Algorithms, and Programming, Version 4.7.4; 2014 (http://www.gap-system.org).",4.7.4,Yes,106,3
